Ward Name,La Name,Ward Code,La Code,Value
Twycross and Witherley with Sheepy,Hinckley and Bosworth,E07000132,E05005494,
Ambien,Hinckley and Bosworth,E05005479,E07000132
"Cadeby, Carlton and Market Bosworth with Shackerstone",Hinckley and Bosworth,E05005484,E07000132
"Barlestone, Nailstone and Osbaston",Hinckley and Bosworth,E05005480,E07000132
"Ratby, Bagworth and Thornton",Hinckley and Bosworth,E05005493,E07000132
Hinckley Castle,Hinckley and Bosworth,E05005487,E07000132
Hinckley De Montfort,Hinckley and Bosworth,E05005489,E07000132
Hinckley Clarendon,Hinckley and Bosworth,E05005488,E07000132
Hinckley Trinity,Hinckley and Bosworth,E05005490,E07000132
Burbage St Catherines and Lash Hill,Hinckley and Bosworth,E05005482,E07000132
Burbage Sketchley and Stretton,Hinckley and Bosworth,E05005483,E07000132
Earl Shilton,Hinckley and Bosworth,E05005485,E07000132
Groby,Hinckley and Bosworth,E05005486,E07000132
"Markfield, Stanton and Fieldhead",Hinckley and Bosworth,E05005491,E07000132
Newbold Verdon with Desford and Peckleton,Hinckley and Bosworth,E05005492,E07000132
Barwell,Hinckley and Bosworth,E05005481,E07000132
