Ward Name,La Name,Ward Code,La Code,Value
"West Chiltington, Thakeham & Ashington",Horsham,E07000227,E05011833,
"Pulborough, Coldwaltham & Amberley",Horsham,E05011824,E07000227
Steyning & Ashurst,Horsham,E05011830,E07000227
"Bramber, Upper Beeding & Woodmancote",Horsham,E05011813,E07000227
Henfield,Horsham,E05011819,E07000227
"Cowfold, Shermanbury & West Grinstead",Horsham,E05011816,E07000227
Colgate & Rusper,Horsham,E05011815,E07000227
Denne,Horsham,E05011817,E07000227
Trafalgar,Horsham,E05011832,E07000227
Holbrook West,Horsham,E05011821,E07000227
Southwater North,Horsham,E05011828,E07000227
Rudgwick,Horsham,E05011827,E07000227
Broadbridge Heath,Horsham,E05011814,E07000227
"Itchingfield, Slinfold & Warnham",Horsham,E05011822,E07000227
Roffey North,Horsham,E05011825,E07000227
Holbrook East,Horsham,E05011820,E07000227
Roffey South,Horsham,E05011826,E07000227
Southwater South & Shipley,Horsham,E05011829,E07000227
Billingshurst,Horsham,E05011812,E07000227
Forest,Horsham,E05011818,E07000227
Nuthurst & Lower Beeding,Horsham,E05011823,E07000227
Storrington & Washington,Horsham,E05011831,E07000227
