Ward Name,La Name,Ward Code,La Code,Value
Heston Central,Hounslow,E09000018,E05000355,
Isleworth,Hounslow,E05000362,E09000018
Feltham West,Hounslow,E05000352,E09000018
Hanworth Park,Hounslow,E05000354,E09000018
Hanworth,Hounslow,E05000353,E09000018
Feltham North,Hounslow,E05000351,E09000018
Cranford,Hounslow,E05000350,E09000018
Hounslow Heath,Hounslow,E05000359,E09000018
Bedfont,Hounslow,E05000346,E09000018
Hounslow Central,Hounslow,E05000358,E09000018
Hounslow West,Hounslow,E05000361,E09000018
Hounslow South,Hounslow,E05000360,E09000018
Heston East,Hounslow,E05000356,E09000018
Heston West,Hounslow,E05000357,E09000018
Osterley and Spring Grove,Hounslow,E05000363,E09000018
Syon,Hounslow,E05000364,E09000018
Brentford,Hounslow,E05000347,E09000018
Chiswick Riverside,Hounslow,E05000349,E09000018
Chiswick Homefields,Hounslow,E05000348,E09000018
Turnham Green,Hounslow,E05000365,E09000018
