Ward Name,La Name,Ward Code,La Code,Value
Feltwell,King's Lynn and West Norfolk,E07000146,E05012332,
Methwold,King's Lynn and West Norfolk,E05012340,E07000146
Bircham with Rudhams,King's Lynn and West Norfolk,E05012322,E07000146
Burnham Market & Docking,King's Lynn and West Norfolk,E05012324,E07000146
"Walsoken, West Walton & Walpole",King's Lynn and West Norfolk,E05012352,E07000146
Emneth & Outwell,King's Lynn and West Norfolk,E05012330,E07000146
Terrington,King's Lynn and West Norfolk,E05012348,E07000146
"Tilney, Mershe Lande & Wiggenhall",King's Lynn and West Norfolk,E05012350,E07000146
Upwell & Delph,King's Lynn and West Norfolk,E05012351,E07000146
St. Margaret's with St. Nicholas,King's Lynn and West Norfolk,E05012343,E07000146
South & West Lynn,King's Lynn and West Norfolk,E05012345,E07000146
Gaywood Chase,King's Lynn and West Norfolk,E05012334,E07000146
North Lynn,King's Lynn and West Norfolk,E05012342,E07000146
Gaywood North Bank,King's Lynn and West Norfolk,E05012336,E07000146
The Woottons,King's Lynn and West Norfolk,E05012349,E07000146
Gayton & Grimston,King's Lynn and West Norfolk,E05012333,E07000146
Springwood,King's Lynn and West Norfolk,E05012347,E07000146
Fairstead,King's Lynn and West Norfolk,E05012331,E07000146
Gaywood Clock,King's Lynn and West Norfolk,E05012335,E07000146
West Winch,King's Lynn and West Norfolk,E05012354,E07000146
Dersingham,King's Lynn and West Norfolk,E05012327,E07000146
Massingham with Castle Acre,King's Lynn and West Norfolk,E05012339,E07000146
Snettisham,King's Lynn and West Norfolk,E05012344,E07000146
Heacham,King's Lynn and West Norfolk,E05012337,E07000146
Brancaster,King's Lynn and West Norfolk,E05012323,E07000146
Airfield,King's Lynn and West Norfolk,E05012321,E07000146
Watlington,King's Lynn and West Norfolk,E05012353,E07000146
Downham Old Town,King's Lynn and West Norfolk,E05012328,E07000146
Wissey,King's Lynn and West Norfolk,E05012355,E07000146
Denver,King's Lynn and West Norfolk,E05012326,E07000146
Clenchwarton,King's Lynn and West Norfolk,E05012325,E07000146
Hunstanton,King's Lynn and West Norfolk,E05012338,E07000146
East Downham,King's Lynn and West Norfolk,E05012329,E07000146
South Downham,King's Lynn and West Norfolk,E05012346,E07000146
North Downham,King's Lynn and West Norfolk,E05012341,E07000146
