Ward Name,La Name,Ward Code,La Code,Value
Grove,Kingston upon Thames,E09000021,E05000408,
Beverley,Kingston upon Thames,E05000402,E09000021
Norbiton,Kingston upon Thames,E05000409,E09000021
Canbury,Kingston upon Thames,E05000403,E09000021
St Mark's,Kingston upon Thames,E05000412,E09000021
Coombe Hill,Kingston upon Thames,E05000406,E09000021
Coombe Vale,Kingston upon Thames,E05000407,E09000021
Chessington South,Kingston upon Thames,E05000405,E09000021
Tudor,Kingston upon Thames,E05000415,E09000021
St James,Kingston upon Thames,E05000411,E09000021
Old Malden,Kingston upon Thames,E05000410,E09000021
Alexandra,Kingston upon Thames,E05000400,E09000021
Tolworth and Hook Rise,Kingston upon Thames,E05000414,E09000021
Berrylands,Kingston upon Thames,E05000401,E09000021
Surbiton Hill,Kingston upon Thames,E05000413,E09000021
Chessington North and Hook,Kingston upon Thames,E05000404,E09000021
