Ward Name,La Name,Ward Code,La Code,Value
Roby,Knowsley,E08000011,E05010942,
Cherryfield,Knowsley,E05010935,E08000011
Swanside,Knowsley,E05010947,E08000011
Page Moss,Knowsley,E05010939,E08000011
Halewood South,Knowsley,E05010937,E08000011
Halewood North,Knowsley,E05010936,E08000011
Stockbridge,Knowsley,E05010946,E08000011
Northwood,Knowsley,E05010938,E08000011
Whitefield,Knowsley,E05010949,E08000011
Shevington,Knowsley,E05010943,E08000011
Prescot North,Knowsley,E05010940,E08000011
St Michaels,Knowsley,E05010945,E08000011
Prescot South,Knowsley,E05010941,E08000011
St Gabriels,Knowsley,E05010944,E08000011
Whiston and Cronton,Knowsley,E05010948,E08000011
