Ward Name,La Name,Ward Code,La Code,Value
Kingston,Lewes,E07000063,E05011586,
Ditchling & Westmeston,Lewes,E05011584,E07000063
East Saltdean & Telscombe Cliffs,Lewes,E05011585,E07000063
Peacehaven West,Lewes,E05011596,E07000063
Peacehaven North,Lewes,E05011595,E07000063
Peacehaven East,Lewes,E05011594,E07000063
Seaford South,Lewes,E05011601,E07000063
Seaford Central,Lewes,E05011598,E07000063
Seaford North,Lewes,E05011600,E07000063
Seaford West,Lewes,E05011602,E07000063
Ouse Valley & Ringmer,Lewes,E05011593,E07000063
Seaford East,Lewes,E05011599,E07000063
"Plumpton, Streat, East Chiltington & St John",Lewes,E05011597,E07000063
Lewes Priory,Lewes,E05011589,E07000063
Lewes Castle,Lewes,E05011588,E07000063
Lewes Bridge,Lewes,E05011587,E07000063
"Chailey, Barcombe & Hamsey",Lewes,E05011583,E07000063
Newick,Lewes,E05011592,E07000063
Newhaven South,Lewes,E05011591,E07000063
Newhaven North,Lewes,E05011590,E07000063
Wivelsfield,Lewes,E05011603,E07000063
