Ward Name,La Name,Ward Code,La Code,Value
North Downs,Maidstone,E07000110,E05005001,
North,Maidstone,E05005000,E07000110
High Street,Maidstone,E05004996,E07000110
Park Wood,Maidstone,E05005002,E07000110
East,Maidstone,E05004991,E07000110
Bridge,Maidstone,E05004987,E07000110
Boxley,Maidstone,E05004986,E07000110
Detling and Thurnham,Maidstone,E05004989,E07000110
Bearsted,Maidstone,E05004984,E07000110
Shepway North,Maidstone,E05005003,E07000110
Loose,Maidstone,E05008554,E07000110
Coxheath and Hunton,Maidstone,E05008553,E07000110
Marden and Yalding,Maidstone,E05004999,E07000110
South,Maidstone,E05008555,E07000110
Fant,Maidstone,E05004992,E07000110
Shepway South,Maidstone,E05005004,E07000110
Downswood and Otham,Maidstone,E05004990,E07000110
Allington,Maidstone,E05004982,E07000110
Heath,Maidstone,E05004995,E07000110
Barming and Teston,Maidstone,E05004983,E07000110
Harrietsham and Lenham,Maidstone,E05004993,E07000110
Headcorn,Maidstone,E05004994,E07000110
Leeds,Maidstone,E05004997,E07000110
Sutton Valence and Langley,Maidstone,E05005007,E07000110
Boughton Monchelsea and Chart Sutton,Maidstone,E05004985,E07000110
Staplehurst,Maidstone,E05005006,E07000110
