Ward Name,La Name,Ward Code,La Code,Value
Southminster,Maldon,E07000074,E05004202,
Tillingham,Maldon,E05004203,E07000074
Mayland,Maldon,E05004200,E07000074
Burnham-on-Crouch South,Maldon,E05004192,E07000074
Burnham-on-Crouch North,Maldon,E05004191,E07000074
Wickham Bishops and Woodham,Maldon,E05004206,E07000074
Purleigh,Maldon,E05004201,E07000074
Althorne,Maldon,E05004190,E07000074
Great Totham,Maldon,E05004193,E07000074
Heybridge West,Maldon,E05004195,E07000074
Maldon North,Maldon,E05004197,E07000074
Heybridge East,Maldon,E05004194,E07000074
Maldon East,Maldon,E05004196,E07000074
Maldon South,Maldon,E05004198,E07000074
Maldon West,Maldon,E05004199,E07000074
Tolleshunt D'Arcy,Maldon,E05004205,E07000074
Tollesbury,Maldon,E05004204,E07000074
