Ward Name,La Name,Ward Code,La Code,Value
Baldwin,Malvern Hills,E07000235,E05007847,
Woodbury,Malvern Hills,E05007867,E07000235
Lindridge,Malvern Hills,E05007853,E07000235
Longdon,Malvern Hills,E05007855,E07000235
Ripple,Malvern Hills,E05007861,E07000235
Teme Valley,Malvern Hills,E05007862,E07000235
Morton,Malvern Hills,E05007857,E07000235
Tenbury,Malvern Hills,E05007863,E07000235
Powick,Malvern Hills,E05007859,E07000235
Pickersleigh,Malvern Hills,E05007858,E07000235
Link,Malvern Hills,E05007854,E07000235
Alfrick and Leigh,Malvern Hills,E05007846,E07000235
Dyson Perrins,Malvern Hills,E05007850,E07000235
West,Malvern Hills,E05007866,E07000235
Priory,Malvern Hills,E05007860,E07000235
Wells,Malvern Hills,E05007865,E07000235
Upton and Hanley,Malvern Hills,E05007864,E07000235
Chase,Malvern Hills,E05007849,E07000235
Broadheath,Malvern Hills,E05007848,E07000235
Hallow,Malvern Hills,E05007851,E07000235
Martley,Malvern Hills,E05007856,E07000235
Kempsey,Malvern Hills,E05007852,E07000235
