Ward Name,La Name,Ward Code,La Code,Value
Ballymaguigan,Mid Ulster,N09000009,N08000905,
Valley,Mid Ulster,N08000939,N09000009
Tamlaght O'Crilly,Mid Ulster,N08000935,N09000009
Bellaghy,Mid Ulster,N08000907,N09000009
Glebe,Mid Ulster,N08000921,N09000009
Coolshinny,Mid Ulster,N08000917,N09000009
Tobermore,Mid Ulster,N08000937,N09000009
Castledawson,Mid Ulster,N08000910,N09000009
Lower Glenshane,Mid Ulster,N08000926,N09000009
Town Parks East,Mid Ulster,N08000938,N09000009
The Loup,Mid Ulster,N08000936,N09000009
Draperstown,Mid Ulster,N08000919,N09000009
Lissan,Mid Ulster,N08000924,N09000009
Coagh,Mid Ulster,N08000911,N09000009
Maghera,Mid Ulster,N08000927,N09000009
Swatragh,Mid Ulster,N08000934,N09000009
Caledon,Mid Ulster,N08000908,N09000009
Aughnacloy,Mid Ulster,N08000903,N09000009
Augher and Clogher,Mid Ulster,N08000902,N09000009
Killymeal,Mid Ulster,N08000923,N09000009
Ballysaggart,Mid Ulster,N08000906,N09000009
Mullaghmore,Mid Ulster,N08000930,N09000009
Castlecaulfield,Mid Ulster,N08000909,N09000009
Ballygawley,Mid Ulster,N08000904,N09000009
Donaghmore,Mid Ulster,N08000918,N09000009
Pomeroy,Mid Ulster,N08000932,N09000009
Loughry,Mid Ulster,N08000925,N09000009
Stewartstown,Mid Ulster,N08000933,N09000009
Coalisland North,Mid Ulster,N08000912,N09000009
Coalisland South,Mid Ulster,N08000913,N09000009
Killyman,Mid Ulster,N08000922,N09000009
Washing Bay,Mid Ulster,N08000940,N09000009
Ardboe,Mid Ulster,N08000901,N09000009
Moygashel,Mid Ulster,N08000929,N09000009
Moy,Mid Ulster,N08000928,N09000009
Fivemiletown,Mid Ulster,N08000920,N09000009
Oaklands,Mid Ulster,N08000931,N09000009
Cookstown East,Mid Ulster,N08000914,N09000009
Cookstown West,Mid Ulster,N08000916,N09000009
Cookstown South,Mid Ulster,N08000915,N09000009
