Ward Name,La Name,Ward Code,La Code,Value
Margam,Neath Port Talbot,W06000012,W05001030,
Blaengwrach,Neath Port Talbot,W05000555,W06000012
Coedffranc West,Neath Port Talbot,W05000565,W06000012
Coedffranc Central,Neath Port Talbot,W05000563,W06000012
Coedffranc North,Neath Port Talbot,W05000564,W06000012
Dyffryn,Neath Port Talbot,W05000569,W06000012
Neath North,Neath Port Talbot,W05000578,W06000012
Bryn-coch South,Neath Port Talbot,W05000560,W06000012
Bryn-coch North,Neath Port Talbot,W05000559,W06000012
Cadoxton,Neath Port Talbot,W05000561,W06000012
Aberdulais,Neath Port Talbot,W05000552,W06000012
Crynant,Neath Port Talbot,W05000566,W06000012
Tonna,Neath Port Talbot,W05000590,W06000012
Seven Sisters,Neath Port Talbot,W05001034,W06000012
Onllwyn,Neath Port Talbot,W05001031,W06000012
Neath East,Neath Port Talbot,W05000577,W06000012
Neath South,Neath Port Talbot,W05000579,W06000012
Cimla,Neath Port Talbot,W05000562,W06000012
Briton Ferry East,Neath Port Talbot,W05001028,W06000012
Briton Ferry West,Neath Port Talbot,W05000557,W06000012
Baglan,Neath Port Talbot,W05001027,W06000012
Pelenna,Neath Port Talbot,W05000581,W06000012
Resolven,Neath Port Talbot,W05000584,W06000012
Glynneath,Neath Port Talbot,W05000571,W06000012
Glyncorrwg,Neath Port Talbot,W05000570,W06000012
Sandfields East,Neath Port Talbot,W05001033,W06000012
Aberavon,Neath Port Talbot,W05000551,W06000012
Port Talbot,Neath Port Talbot,W05001032,W06000012
Sandfields West,Neath Port Talbot,W05000587,W06000012
Bryn and Cwmavon,Neath Port Talbot,W05001029,W06000012
Cymmer,Neath Port Talbot,W05000568,W06000012
Tai-bach,Neath Port Talbot,W05001035,W06000012
Pontardawe,Neath Port Talbot,W05000582,W06000012
Gwynfi,Neath Port Talbot,W05000574,W06000012
Gwaun-Cae-Gurwen,Neath Port Talbot,W05000573,W06000012
Lower Brynamman,Neath Port Talbot,W05000575,W06000012
Allt-wen,Neath Port Talbot,W05000553,W06000012
Rhos,Neath Port Talbot,W05000585,W06000012
Trebanos,Neath Port Talbot,W05000591,W06000012
Godre'r graig,Neath Port Talbot,W05000572,W06000012
Ystalyfera,Neath Port Talbot,W05000592,W06000012
Cwmllynfell,Neath Port Talbot,W05000567,W06000012
