Ward Name,La Name,Ward Code,La Code,Value
Forest North West,New Forest,E07000091,E05008934,
Bransgore and Burley,New Forest,E05004586,E07000091
Ringwood East and Sopley,New Forest,E05004606,E07000091
Bashley,New Forest,E05004582,E07000091
Ringwood South,New Forest,E05004608,E07000091
Ringwood North,New Forest,E05004607,E07000091
Becton,New Forest,E05004583,E07000091
Fernhill,New Forest,E05004593,E07000091
Milton,New Forest,E05004604,E07000091
Brockenhurst and Forest South East,New Forest,E05004587,E07000091
Barton,New Forest,E05004581,E07000091
"Fawley, Blackfield and Langley",New Forest,E05004592,E07000091
Boldre and Sway,New Forest,E05004584,E07000091
Hordle,New Forest,E05004598,E07000091
Milford,New Forest,E05004603,E07000091
Holbury and North Blackfield,New Forest,E05004597,E07000091
Furzedown and Hardley,New Forest,E05004596,E07000091
"Ashurst, Copythorne South and Netley Marsh",New Forest,E05004580,E07000091
Totton Central,New Forest,E05004609,E07000091
Totton South,New Forest,E05004612,E07000091
Totton West,New Forest,E05004613,E07000091
"Bramshaw, Copythorne North and Minstead",New Forest,E05004585,E07000091
Totton North,New Forest,E05004611,E07000091
Totton East,New Forest,E05004610,E07000091
Marchwood,New Forest,E05004602,E07000091
Dibden and Hythe East,New Forest,E05004590,E07000091
Hythe West and Langdown,New Forest,E05004599,E07000091
Butts Ash and Dibden Purlieu,New Forest,E05004589,E07000091
Lyndhurst,New Forest,E05004601,E07000091
Pennington,New Forest,E05004605,E07000091
Lymington Town,New Forest,E05004600,E07000091
Buckland,New Forest,E05004588,E07000091
Downlands and Forest,New Forest,E05008932,E07000091
Fordingbridge,New Forest,E05008933,E07000091
