Ward Name,La Name,Ward Code,La Code,Value
Monument,Newcastle upon Tyne,E08000021,E05011453,
Dene & South Gosforth,Newcastle upon Tyne,E05011443,E08000021
Ouseburn,Newcastle upon Tyne,E05011455,E08000021
Blakelaw,Newcastle upon Tyne,E05011438,E08000021
Elswick,Newcastle upon Tyne,E05011445,E08000021
Arthur's Hill,Newcastle upon Tyne,E05011436,E08000021
Wingrove,Newcastle upon Tyne,E05011461,E08000021
South Jesmond,Newcastle upon Tyne,E05011457,E08000021
Parklands,Newcastle upon Tyne,E05011456,E08000021
Castle,Newcastle upon Tyne,E05011441,E08000021
Fawdon & West Gosforth,Newcastle upon Tyne,E05011446,E08000021
Callerton & Throckley,Newcastle upon Tyne,E05011440,E08000021
West Fenham,Newcastle upon Tyne,E05011460,E08000021
Benwell & Scotswood,Newcastle upon Tyne,E05011437,E08000021
Lemington,Newcastle upon Tyne,E05011451,E08000021
Chapel,Newcastle upon Tyne,E05011442,E08000021
North Jesmond,Newcastle upon Tyne,E05011454,E08000021
Gosforth,Newcastle upon Tyne,E05011447,E08000021
Walkergate,Newcastle upon Tyne,E05011459,E08000021
Kingston Park South & Newbiggin Hall,Newcastle upon Tyne,E05011450,E08000021
Kenton,Newcastle upon Tyne,E05011449,E08000021
Heaton,Newcastle upon Tyne,E05011448,E08000021
Denton & Westerhope,Newcastle upon Tyne,E05011444,E08000021
Byker,Newcastle upon Tyne,E05011439,E08000021
Walker,Newcastle upon Tyne,E05011458,E08000021
Manor Park,Newcastle upon Tyne,E05011452,E08000021
