Ward Name,La Name,Ward Code,La Code,Value
Marshfield,Newport,W06000022,W05000844,
Rogerstone,Newport,W05000847,W06000022
Langstone,Newport,W05000840,W06000022
Graig,Newport,W05000839,W06000022
Tredegar Park,Newport,W05000851,W06000022
Allt-yr-yn,Newport,W05000833,W06000022
Gaer,Newport,W05000838,W06000022
Caerleon,Newport,W05000837,W06000022
Ringland,Newport,W05000846,W06000022
Liswerry,Newport,W05000841,W06000022
Llanwern,Newport,W05000842,W06000022
Victoria,Newport,W05000852,W06000022
St. Julians,Newport,W05000848,W06000022
Beechwood,Newport,W05000835,W06000022
Alway,Newport,W05000834,W06000022
Stow Hill,Newport,W05000850,W06000022
Pillgwenlly,Newport,W05000845,W06000022
Shaftesbury,Newport,W05000849,W06000022
Bettws,Newport,W05000836,W06000022
Malpas,Newport,W05000843,W06000022
