Ward Name,La Name,Ward Code,La Code,Value
Derryboy,"Newry, Mourne and Down",N09000010,N08001016,
Saintfield,"Newry, Mourne and Down",N08001036,N09000010
Kilmore,"Newry, Mourne and Down",N08001026,N09000010
Ballynahinch,"Newry, Mourne and Down",N08001005,N09000010
Drumaness,"Newry, Mourne and Down",N08001020,N09000010
Ballyward,"Newry, Mourne and Down",N08001006,N09000010
Ballydugan,"Newry, Mourne and Down",N08001004,N09000010
Quoile,"Newry, Mourne and Down",N08001034,N09000010
Cathedral,"Newry, Mourne and Down",N08001012,N09000010
Knocknashinna,"Newry, Mourne and Down",N08001027,N09000010
Strangford,"Newry, Mourne and Down",N08001038,N09000010
Lecale,"Newry, Mourne and Down",N08001028,N09000010
Dundrum,"Newry, Mourne and Down",N08001021,N09000010
Crossgar and Killyleagh,"Newry, Mourne and Down",N08001013,N09000010
Castlewellan,"Newry, Mourne and Down",N08001011,N09000010
Tollymore,"Newry, Mourne and Down",N08001039,N09000010
Hilltown,"Newry, Mourne and Down",N08001024,N09000010
Donard,"Newry, Mourne and Down",N08001018,N09000010
Murlough,"Newry, Mourne and Down",N08001032,N09000010
Annalong,"Newry, Mourne and Down",N08001002,N09000010
Mayobridge,"Newry, Mourne and Down",N08001030,N09000010
St. Patrick's,"Newry, Mourne and Down",N08001037,N09000010
Abbey,"Newry, Mourne and Down",N08001001,N09000010
Damolly,"Newry, Mourne and Down",N08001015,N09000010
Derryleckagh,"Newry, Mourne and Down",N08001017,N09000010
Burren,"Newry, Mourne and Down",N08001009,N09000010
Rostrevor,"Newry, Mourne and Down",N08001035,N09000010
Lisnacree,"Newry, Mourne and Down",N08001029,N09000010
Warrenpoint,"Newry, Mourne and Down",N08001040,N09000010
Kilkeel,"Newry, Mourne and Down",N08001025,N09000010
Binnian,"Newry, Mourne and Down",N08001008,N09000010
Newtownhamilton,"Newry, Mourne and Down",N08001033,N09000010
Crossmaglen,"Newry, Mourne and Down",N08001014,N09000010
Mullaghbane,"Newry, Mourne and Down",N08001031,N09000010
Ballybot,"Newry, Mourne and Down",N08001003,N09000010
Whitecross,"Newry, Mourne and Down",N08001041,N09000010
Bessbrook,"Newry, Mourne and Down",N08001007,N09000010
Camlough,"Newry, Mourne and Down",N08001010,N09000010
Drumalane,"Newry, Mourne and Down",N08001019,N09000010
Fathom,"Newry, Mourne and Down",N08001022,N09000010
Forkhill,"Newry, Mourne and Down",N08001023,N09000010
