Ward Name,La Name,Ward Code,La Code,Value
Witheridge,North Devon,E07000043,E05012436,
Bishop's Nympton,North Devon,E05012416,E07000043
Chulmleigh,North Devon,E05012421,E07000043
Chittlehampton,North Devon,E05012420,E07000043
Barnstaple Central,North Devon,E05012412,E07000043
Barnstaple with Pilton,North Devon,E05012413,E07000043
Roundswell,North Devon,E05012434,E07000043
Bickington,North Devon,E05012415,E07000043
Fremington,North Devon,E05012423,E07000043
Instow,North Devon,E05012427,E07000043
Heanton Punchardon,North Devon,E05012424,E07000043
Braunton East,North Devon,E05012418,E07000043
Marwood,North Devon,E05012430,E07000043
Bratton Fleming,North Devon,E05012417,E07000043
Lynton & Lynmouth,North Devon,E05012429,E07000043
North Molton,North Devon,E05012433,E07000043
Landkey,North Devon,E05012428,E07000043
Barnstaple with Westacott,North Devon,E05012414,E07000043
Newport,North Devon,E05012432,E07000043
Braunton West & Georgeham,North Devon,E05012419,E07000043
Mortehoe,North Devon,E05012431,E07000043
Combe Martin,North Devon,E05012422,E07000043
Ilfracombe East,North Devon,E05012425,E07000043
Ilfracombe West,North Devon,E05012426,E07000043
South Molton,North Devon,E05012435,E07000043
