Ward Name,La Name,Ward Code,La Code,Value
West Marsh,North East Lincolnshire,E06000012,E05001725,
Park,North East Lincolnshire,E05001720,E06000012
Heneage,North East Lincolnshire,E05001717,E06000012
East Marsh,North East Lincolnshire,E05001714,E06000012
Freshney,North East Lincolnshire,E05001715,E06000012
Yarborough,North East Lincolnshire,E05001727,E06000012
Wolds,North East Lincolnshire,E05001726,E06000012
Sidney Sussex,North East Lincolnshire,E05001722,E06000012
South,North East Lincolnshire,E05001723,E06000012
Waltham,North East Lincolnshire,E05001724,E06000012
Scartho,North East Lincolnshire,E05001721,E06000012
Humberston and New Waltham,North East Lincolnshire,E05001718,E06000012
Haverstoe,North East Lincolnshire,E05001716,E06000012
Croft Baker,North East Lincolnshire,E05001713,E06000012
Immingham,North East Lincolnshire,E05001719,E06000012
