Ward Name,La Name,Ward Code,La Code,Value
Kimpton,North Hertfordshire,E07000099,E05004774,
Knebworth,North Hertfordshire,E05004775,E07000099
Codicote,North Hertfordshire,E05004766,E07000099
"Hitchwood, Offa and Hoo",North Hertfordshire,E05004773,E07000099
Chesfield,North Hertfordshire,E05004765,E07000099
Letchworth East,North Hertfordshire,E05004776,E07000099
Weston and Sandon,North Hertfordshire,E05004784,E07000099
Hitchin Bearton,North Hertfordshire,E05004768,E07000099
Hitchin Walsworth,North Hertfordshire,E05004772,E07000099
Hitchin Highbury,North Hertfordshire,E05004769,E07000099
Letchworth South West,North Hertfordshire,E05004779,E07000099
Hitchin Priory,North Hertfordshire,E05004771,E07000099
Hitchin Oughton,North Hertfordshire,E05004770,E07000099
Cadwell,North Hertfordshire,E05004764,E07000099
Letchworth Grange,North Hertfordshire,E05004777,E07000099
Letchworth South East,North Hertfordshire,E05004778,E07000099
Letchworth Wilbury,North Hertfordshire,E05004780,E07000099
Baldock Town,North Hertfordshire,E05004763,E07000099
Arbury,North Hertfordshire,E05004761,E07000099
Baldock East,North Hertfordshire,E05004762,E07000099
Ermine,North Hertfordshire,E05004767,E07000099
Royston Palace,North Hertfordshire,E05004783,E07000099
Royston Heath,North Hertfordshire,E05004781,E07000099
Royston Meridian,North Hertfordshire,E05004782,E07000099
