Ward Name,La Name,Ward Code,La Code,Value
Metheringham,North Kesteven,E07000139,E05005629,
"Billinghay, Martin and North Kyme",North Kesteven,E05005620,E07000139
Branston,North Kesteven,E05005622,E07000139
Heighington and Washingborough,North Kesteven,E05005626,E07000139
Cliff Villages,North Kesteven,E05005623,E07000139
Bracebridge Heath and Waddington East,North Kesteven,E05005621,E07000139
Ashby de la Launde and Cranwell,North Kesteven,E05005618,E07000139
Kirkby la Thorpe and South Kyme,North Kesteven,E05005627,E07000139
Ruskington,North Kesteven,E05005636,E07000139
Bassingham and Brant Broughton,North Kesteven,E05005619,E07000139
Waddington West,North Kesteven,E05005643,E07000139
"Eagle, Swinderby and Witham St Hughs",North Kesteven,E05005624,E07000139
North Hykeham Memorial,North Kesteven,E05005631,E07000139
Skellingthorpe,North Kesteven,E05005637,E07000139
North Hykeham Forum,North Kesteven,E05005630,E07000139
North Hykeham Witham,North Kesteven,E05005634,E07000139
North Hykeham Moor,North Kesteven,E05005633,E07000139
North Hykeham Mill,North Kesteven,E05005632,E07000139
Osbournby,North Kesteven,E05005635,E07000139
Leasingham and Rauceby,North Kesteven,E05005628,E07000139
Heckington Rural,North Kesteven,E05005625,E07000139
Sleaford Castle,North Kesteven,E05005638,E07000139
Sleaford Navigation,North Kesteven,E05005640,E07000139
Sleaford Quarrington and Mareham,North Kesteven,E05005641,E07000139
Sleaford Westholme,North Kesteven,E05005642,E07000139
Sleaford Holdingham,North Kesteven,E05005639,E07000139
