Ward Name,La Name,Ward Code,La Code,Value
Fortissat,North Lanarkshire,S12000050,S13003054,
Airdrie North,North Lanarkshire,S13003049,S12000050
Cumbernauld East,North Lanarkshire,S13003045,S12000050
Kilsyth,North Lanarkshire,S13003042,S12000050
Cumbernauld North,North Lanarkshire,S13003043,S12000050
"Stepps, Chryston and Muirhead",North Lanarkshire,S13003134,S12000050
Cumbernauld South,North Lanarkshire,S13003044,S12000050
"Gartcosh, Glenboig and Moodiesburn",North Lanarkshire,S13003047,S12000050
Coatbridge West,North Lanarkshire,S13003051,S12000050
Bellshill,North Lanarkshire,S13003056,S12000050
Thorniewood,North Lanarkshire,S13003055,S12000050
Coatbridge North,North Lanarkshire,S13003048,S12000050
Motherwell North,North Lanarkshire,S13003059,S12000050
Motherwell South East and Ravenscraig,North Lanarkshire,S13003060,S12000050
Murdostoun,North Lanarkshire,S13003061,S12000050
Motherwell West,North Lanarkshire,S13003058,S12000050
Mossend and Holytown,North Lanarkshire,S13003057,S12000050
Airdrie South,North Lanarkshire,S13003053,S12000050
Wishaw,North Lanarkshire,S13003062,S12000050
Coatbridge South,North Lanarkshire,S13003052,S12000050
Airdrie Central,North Lanarkshire,S13003050,S12000050
