Ward Name,La Name,Ward Code,La Code,Value
Axholme Central,North Lincolnshire,E06000013,E05001729,
Axholme South,North Lincolnshire,E05001731,E06000013
Axholme North,North Lincolnshire,E05001730,E06000013
Broughton and Appleby,North Lincolnshire,E05001735,E06000013
Crosby and Park,North Lincolnshire,E05001739,E06000013
Frodingham,North Lincolnshire,E05001741,E06000013
Bottesford,North Lincolnshire,E05001733,E06000013
Town,North Lincolnshire,E05001744,E06000013
Kingsway with Lincoln Gardens,North Lincolnshire,E05001742,E06000013
Burringham and Gunness,North Lincolnshire,E05001737,E06000013
Burton upon Stather and Winterton,North Lincolnshire,E05001738,E06000013
Ashby,North Lincolnshire,E05001728,E06000013
Ridge,North Lincolnshire,E05001743,E06000013
Brumby,North Lincolnshire,E05001736,E06000013
Barton,North Lincolnshire,E05001732,E06000013
Brigg and Wolds,North Lincolnshire,E05001734,E06000013
Ferry,North Lincolnshire,E05001740,E06000013
