Ward Name,La Name,Ward Code,La Code,Value
Worstead,North Norfolk,E07000147,E05011865,
Trunch,North Norfolk,E05011862,E07000147
North Walsham Market Cross,North Norfolk,E05011849,E07000147
Erpingham,North Norfolk,E05011839,E07000147
Stody,North Norfolk,E05011859,E07000147
Gresham,North Norfolk,E05011840,E07000147
Sheringham North,North Norfolk,E05011855,E07000147
Roughton,North Norfolk,E05011853,E07000147
Mundesley,North Norfolk,E05011847,E07000147
Poppyland,North Norfolk,E05011851,E07000147
Bacton,North Norfolk,E05011834,E07000147
Happisburgh,North Norfolk,E05011841,E07000147
Hickling,North Norfolk,E05011842,E07000147
Stalham,North Norfolk,E05011857,E07000147
St Benet's,North Norfolk,E05011854,E07000147
Hoveton & Tunstead,North Norfolk,E05011844,E07000147
Stibbard,North Norfolk,E05011858,E07000147
Priory,North Norfolk,E05011852,E07000147
Walsingham,North Norfolk,E05011863,E07000147
Lancaster South,North Norfolk,E05011846,E07000147
Lancaster North,North Norfolk,E05011845,E07000147
The Raynhams,North Norfolk,E05011861,E07000147
Wells with Holkham,North Norfolk,E05011864,E07000147
Coastal,North Norfolk,E05011837,E07000147
Briston,North Norfolk,E05011836,E07000147
Holt,North Norfolk,E05011843,E07000147
Sheringham South,North Norfolk,E05011856,E07000147
Beeston Regis & The Runtons,North Norfolk,E05011835,E07000147
Suffield Park,North Norfolk,E05011860,E07000147
Cromer Town,North Norfolk,E05011838,E07000147
North Walsham West,North Norfolk,E05011850,E07000147
North Walsham East,North Norfolk,E05011848,E07000147
