Ward Name,La Name,Ward Code,La Code,Value
Coleshill North,North Warwickshire,E07000218,E05007462,
Curdworth,North Warwickshire,E05007464,E07000218
Coleshill South,North Warwickshire,E05007463,E07000218
Water Orton,North Warwickshire,E05007473,E07000218
Fillongley,North Warwickshire,E05007466,E07000218
Arley and Whitacre,North Warwickshire,E05007457,E07000218
Hurley and Wood End,North Warwickshire,E05007468,E07000218
Dordon,North Warwickshire,E05007465,E07000218
Polesworth West,North Warwickshire,E05007472,E07000218
Newton Regis and Warton,North Warwickshire,E05007470,E07000218
Polesworth East,North Warwickshire,E05007471,E07000218
Baddesley and Grendon,North Warwickshire,E05007461,E07000218
Kingsbury,North Warwickshire,E05007469,E07000218
Hartshill,North Warwickshire,E05007467,E07000218
Atherstone South and Mancetter,North Warwickshire,E05007460,E07000218
Atherstone Central,North Warwickshire,E05007458,E07000218
Atherstone North,North Warwickshire,E05007459,E07000218
