Ward Name,La Name,Ward Code,La Code,Value
Appleby,North West Leicestershire,E07000134,E05010090,
Blackfordby,North West Leicestershire,E05010098,E07000134
Ashby Woulds,North West Leicestershire,E05010096,E07000134
Measham North,North West Leicestershire,E05010117,E07000134
Oakthorpe & Donisthorpe,North West Leicestershire,E05010119,E07000134
Measham South,North West Leicestershire,E05010118,E07000134
Worthington & Breedon,North West Leicestershire,E05010127,E07000134
Kegworth,North West Leicestershire,E05010115,E07000134
Daleacre Hill,North West Leicestershire,E05010106,E07000134
Castle Donington Central,North West Leicestershire,E05010101,E07000134
Castle Donington Castle,North West Leicestershire,E05010100,E07000134
Castle Donington Park,North West Leicestershire,E05010102,E07000134
Long Whatton & Diseworth,North West Leicestershire,E05010116,E07000134
Valley,North West Leicestershire,E05010126,E07000134
Castle Rock,North West Leicestershire,E05010103,E07000134
Ashby Money Hill,North West Leicestershire,E05010094,E07000134
Snibston North,North West Leicestershire,E05010122,E07000134
Ellistown & Battleflat,North West Leicestershire,E05010107,E07000134
Ibstock East,North West Leicestershire,E05010113,E07000134
Sence Valley,North West Leicestershire,E05010121,E07000134
Ibstock West,North West Leicestershire,E05010114,E07000134
Ravenstone & Packington,North West Leicestershire,E05010120,E07000134
Snibston South,North West Leicestershire,E05010123,E07000134
Hugglescote St Mary's,North West Leicestershire,E05010112,E07000134
Coalville West,North West Leicestershire,E05010105,E07000134
Hugglescote St John's,North West Leicestershire,E05010111,E07000134
Coalville East,North West Leicestershire,E05010104,E07000134
Bardon,North West Leicestershire,E05010097,E07000134
Broom Leys,North West Leicestershire,E05010099,E07000134
Hermitage,North West Leicestershire,E05010109,E07000134
Holly Hayes,North West Leicestershire,E05010110,E07000134
Greenhill,North West Leicestershire,E05010108,E07000134
Thornborough,North West Leicestershire,E05010124,E07000134
Thringstone,North West Leicestershire,E05010125,E07000134
Ashby Ivanhoe,North West Leicestershire,E05010093,E07000134
Ashby Castle,North West Leicestershire,E05010091,E07000134
Ashby Willesley,North West Leicestershire,E05010095,E07000134
Ashby Holywell,North West Leicestershire,E05010092,E07000134
