Ward Name,La Name,Ward Code,La Code,Value
Bellingham,Northumberland,E06000057,E05009101,
Haydon and Hadrian,Northumberland,E05009122,E06000057
Haltwhistle,Northumberland,E05009119,E06000057
South Tynedale,Northumberland,E05009154,E06000057
Ponteland East and Stannington,Northumberland,E05009142,E06000057
Ponteland West,Northumberland,E05009145,E06000057
Bywell,Northumberland,E05009106,E06000057
Ponteland South with Heddon,Northumberland,E05009144,E06000057
Prudhoe North,Northumberland,E05009146,E06000057
Ponteland North,Northumberland,E05009143,E06000057
Rothbury,Northumberland,E05009148,E06000057
Corbridge,Northumberland,E05009109,E06000057
Humshaugh,Northumberland,E05009128,E06000057
Bedlington Central,Northumberland,E05009098,E06000057
Bedlington East,Northumberland,E05009099,E06000057
Sleekburn,Northumberland,E05009152,E06000057
College,Northumberland,E05009108,E06000057
Kitty Brewster,Northumberland,E05009130,E06000057
Bedlington West,Northumberland,E05009100,E06000057
Stakeford,Northumberland,E05009155,E06000057
Choppington,Northumberland,E05009107,E06000057
Cramlington West,Northumberland,E05009116,E06000057
Cramlington Village,Northumberland,E05009115,E06000057
Cramlington North,Northumberland,E05009113,E06000057
Cramlington Eastfield,Northumberland,E05009112,E06000057
Cramlington East,Northumberland,E05009111,E06000057
Cramlington South East,Northumberland,E05009114,E06000057
Holywell,Northumberland,E05009127,E06000057
Wensleydale,Northumberland,E05009157,E06000057
Croft,Northumberland,E05009117,E06000057
Isabella,Northumberland,E05009129,E06000057
Cowpen,Northumberland,E05009110,E06000057
Haydon,Northumberland,E05009121,E06000057
Plessey,Northumberland,E05009141,E06000057
South Blyth,Northumberland,E05009153,E06000057
Hartley,Northumberland,E05009120,E06000057
Prudhoe South,Northumberland,E05009147,E06000057
Stocksfield and Broomhaugh,Northumberland,E05009156,E06000057
Hexham East,Northumberland,E05009124,E06000057
Hexham West,Northumberland,E05009125,E06000057
Hexham Central with Acomb,Northumberland,E05009123,E06000057
Morpeth North,Northumberland,E05009135,E06000057
Morpeth Kirkhill,Northumberland,E05009134,E06000057
Morpeth Stobhill,Northumberland,E05009136,E06000057
Longhorsley,Northumberland,E05009131,E06000057
Druridge Bay,Northumberland,E05009118,E06000057
Lynemouth,Northumberland,E05009133,E06000057
Amble,Northumberland,E05009094,E06000057
Ashington Central,Northumberland,E05009096,E06000057
Hirst,Northumberland,E05009126,E06000057
Seaton with Newbiggin West,Northumberland,E05009149,E06000057
Newbiggin Central and East,Northumberland,E05009137,E06000057
Amble West with Warkworth,Northumberland,E05009095,E06000057
Shilbottle,Northumberland,E05009151,E06000057
Alnwick,Northumberland,E05009093,E06000057
Longhoughton,Northumberland,E05009132,E06000057
Norham and Islandshires,Northumberland,E05009139,E06000057
Wooler,Northumberland,E05009158,E06000057
Bamburgh,Northumberland,E05009097,E06000057
Berwick North,Northumberland,E05009103,E06000057
Berwick East,Northumberland,E05009102,E06000057
Berwick West with Ord,Northumberland,E05009104,E06000057
