Ward Name,La Name,Ward Code,La Code,Value
Carse of Gowrie,Perth and Kinross,S12000048,S13003063,
Strathallan,Perth and Kinross,S13003069,S12000048
Kinross-shire,Perth and Kinross,S13003132,S12000048
Highland,Perth and Kinross,S13003066,S12000048
Almond and Earn,Perth and Kinross,S13003071,S12000048
Strathtay,Perth and Kinross,S13003067,S12000048
Perth City North,Perth and Kinross,S13003073,S12000048
Perth City South,Perth and Kinross,S13003072,S12000048
Perth City Centre,Perth and Kinross,S13003074,S12000048
Strathearn,Perth and Kinross,S13003068,S12000048
Blairgowrie and Glens,Perth and Kinross,S13003065,S12000048
Strathmore,Perth and Kinross,S13003064,S12000048
