Ward Name,La Name,Ward Code,La Code,Value
Werrington,Peterborough,E06000031,E05010824,
Central,Peterborough,E05010807,E06000031
North,Peterborough,E05010817,E06000031
Fletton and Stanground,Peterborough,E05010811,E06000031
Paston and Walton,Peterborough,E05010821,E06000031
Park,Peterborough,E05010820,E06000031
Dogsthorpe,Peterborough,E05010808,E06000031
"Eye, Thorney and Newborough",Peterborough,E05010810,E06000031
East,Peterborough,E05010809,E06000031
Orton Waterville,Peterborough,E05010819,E06000031
Orton Longueville,Peterborough,E05010818,E06000031
Hargate and Hempsted,Peterborough,E05010816,E06000031
Fletton and Woodston,Peterborough,E05010812,E06000031
Hampton Vale,Peterborough,E05010815,E06000031
Stanground South,Peterborough,E05010823,E06000031
Ravensthorpe,Peterborough,E05010822,E06000031
West,Peterborough,E05010825,E06000031
Bretton,Peterborough,E05010806,E06000031
Glinton and Castor,Peterborough,E05010813,E06000031
Gunthorpe,Peterborough,E05010814,E06000031
Wittering,Peterborough,E05010826,E06000031
Barnack,Peterborough,E05010805,E06000031
