Ward Name,La Name,Ward Code,La Code,Value
Charles Dickens,Portsmouth,E06000044,E05002443,
St Thomas,Portsmouth,E05002454,E06000044
Nelson,Portsmouth,E05002451,E06000044
Fratton,Portsmouth,E05002448,E06000044
Paulsgrove,Portsmouth,E05002452,E06000044
Copnor,Portsmouth,E05002444,E06000044
Hilsea,Portsmouth,E05002449,E06000044
Baffins,Portsmouth,E05002441,E06000044
Milton,Portsmouth,E05002450,E06000044
Central Southsea,Portsmouth,E05002442,E06000044
Eastney and Craneswater,Portsmouth,E05002447,E06000044
St Jude,Portsmouth,E05002453,E06000044
Drayton and Farlington,Portsmouth,E05002446,E06000044
Cosham,Portsmouth,E05002445,E06000044
