Ward Name,La Name,Ward Code,La Code,Value
Wanstead Village,Redbridge,E09000026,E05011255,
South Woodford,Redbridge,E05011252,E09000026
Wanstead Park,Redbridge,E05011254,E09000026
Churchfields,Redbridge,E05011238,E09000026
Ilford Town,Redbridge,E05011246,E09000026
Clementswood,Redbridge,E05011240,E09000026
Loxford,Redbridge,E05011247,E09000026
Mayfield,Redbridge,E05011248,E09000026
Goodmayes,Redbridge,E05011244,E09000026
Valentines,Redbridge,E05011253,E09000026
Cranbrook,Redbridge,E05011241,E09000026
Newbury,Redbridge,E05011250,E09000026
Barkingside,Redbridge,E05011235,E09000026
Aldborough,Redbridge,E05011234,E09000026
Seven Kings,Redbridge,E05011251,E09000026
Chadwell,Redbridge,E05011237,E09000026
Clayhall,Redbridge,E05011239,E09000026
Fullwell,Redbridge,E05011243,E09000026
Fairlop,Redbridge,E05011242,E09000026
Hainault,Redbridge,E05011245,E09000026
Monkhams,Redbridge,E05011249,E09000026
Bridge,Redbridge,E05011236,E09000026
