Ward Name,La Name,Ward Code,La Code,Value
"Hooley, Merstham & Netherne",Reigate and Banstead,E07000211,E05012875,
"Chipstead, Kingswood & Woodmansterne",Reigate and Banstead,E05012873,E07000211
"Lower Kingswood, Tadworth & Walton",Reigate and Banstead,E05012879,E07000211
Nork,Reigate and Banstead,E05012881,E07000211
Tattenham Corner & Preston,Reigate and Banstead,E05012886,E07000211
Banstead Village,Reigate and Banstead,E05012872,E07000211
Reigate,Reigate and Banstead,E05012884,E07000211
Redhill East,Reigate and Banstead,E05012882,E07000211
Redhill West & Wray Common,Reigate and Banstead,E05012883,E07000211
Meadvale & St John's,Reigate and Banstead,E05012880,E07000211
Earlswood & Whitebushes,Reigate and Banstead,E05012874,E07000211
Horley East & Salfords,Reigate and Banstead,E05012877,E07000211
South Park & Woodhatch,Reigate and Banstead,E05012885,E07000211
Horley West & Sidlow,Reigate and Banstead,E05012878,E07000211
Horley Central & South,Reigate and Banstead,E05012876,E07000211
