Ward Name,La Name,Ward Code,La Code,Value
Wilpshire & Ramsgreave,Ribble Valley,E07000124,E05012024,
Clayton-le-Dale & Salesbury,Ribble Valley,E05012006,E07000124
Mellor,Ribble Valley,E05012014,E07000124
"East Whalley, Read & Simonstone",Ribble Valley,E05012009,E07000124
Sabden,Ribble Valley,E05012017,E07000124
Billington & Langho,Ribble Valley,E05012001,E07000124
Brockhall & Dinckley,Ribble Valley,E05012003,E07000124
Whalley & Painter Wood,Ribble Valley,E05012022,E07000124
Wiswell & Barrow,Ribble Valley,E05012025,E07000124
Whalley Nethertown,Ribble Valley,E05012023,E07000124
"Waddington, Bashall Eaves & Mitton",Ribble Valley,E05012020,E07000124
Hurst Green & Whitewell,Ribble Valley,E05012012,E07000124
St Mary's,Ribble Valley,E05012018,E07000124
Salthill,Ribble Valley,E05012019,E07000124
Primrose,Ribble Valley,E05012015,E07000124
Littlemoor,Ribble Valley,E05012013,E07000124
Edisford & Low Moor,Ribble Valley,E05012010,E07000124
Chatburn,Ribble Valley,E05012004,E07000124
Bowland,Ribble Valley,E05012002,E07000124
West Bradford & Grindleton,Ribble Valley,E05012021,E07000124
Chipping,Ribble Valley,E05012005,E07000124
Gisburn & Rimington,Ribble Valley,E05012011,E07000124
Alston & Hothersall,Ribble Valley,E05012000,E07000124
Derby & Thornley,Ribble Valley,E05012007,E07000124
Dilworth,Ribble Valley,E05012008,E07000124
Ribchester,Ribble Valley,E05012016,E07000124
