Ward Name,La Name,Ward Code,La Code,Value
Hampton Wick,Richmond upon Thames,E09000027,E05000522,
Teddington,Richmond upon Thames,E05000530,E09000027
"Ham, Petersham and Richmond Riverside",Richmond upon Thames,E05000519,E09000027
Hampton,Richmond upon Thames,E05000520,E09000027
Mortlake and Barnes Common,Richmond upon Thames,E05000525,E09000027
Barnes,Richmond upon Thames,E05000516,E09000027
East Sheen,Richmond upon Thames,E05000517,E09000027
North Richmond,Richmond upon Thames,E05000526,E09000027
Kew,Richmond upon Thames,E05000524,E09000027
St Margarets and North Twickenham,Richmond upon Thames,E05000527,E09000027
Twickenham Riverside,Richmond upon Thames,E05000531,E09000027
West Twickenham,Richmond upon Thames,E05000532,E09000027
South Twickenham,Richmond upon Thames,E05000529,E09000027
South Richmond,Richmond upon Thames,E05000528,E09000027
Fulwell and Hampton Hill,Richmond upon Thames,E05000518,E09000027
Hampton North,Richmond upon Thames,E05000521,E09000027
Heathfield,Richmond upon Thames,E05000523,E09000027
Whitton,Richmond upon Thames,E05000533,E09000027
