Ward Name,La Name,Ward Code,La Code,Value
West Heywood,Rochdale,E08000005,E05000757,
Norden,Rochdale,E05000750,E08000005
North Heywood,Rochdale,E05000751,E08000005
North Middleton,Rochdale,E05000752,E08000005
South Middleton,Rochdale,E05000754,E08000005
East Middleton,Rochdale,E05000743,E08000005
Castleton,Rochdale,E05000741,E08000005
Hopwood Hall,Rochdale,E05000745,E08000005
West Middleton,Rochdale,E05000758,E08000005
Bamford,Rochdale,E05000740,E08000005
Kingsway,Rochdale,E05000746,E08000005
Balderstone and Kirkholt,Rochdale,E05000739,E08000005
Milkstone and Deeplish,Rochdale,E05000748,E08000005
Spotland and Falinge,Rochdale,E05000755,E08000005
Healey,Rochdale,E05000744,E08000005
Central Rochdale,Rochdale,E05000742,E08000005
Smallbridge and Firgrove,Rochdale,E05000753,E08000005
Wardle and West Littleborough,Rochdale,E05000756,E08000005
Littleborough Lakeside,Rochdale,E05000747,E08000005
Milnrow and Newhey,Rochdale,E05000749,E08000005
