Ward Name,La Name,Ward Code,La Code,Value
Wellington,Rushmoor,E07000092,E05009000,
Manor Park,Rushmoor,E05008995,E07000092
Rowhill,Rushmoor,E05008997,E07000092
St Mark's,Rushmoor,E05008999,E07000092
North Town,Rushmoor,E05008996,E07000092
Aldershot Park,Rushmoor,E05008989,E07000092
Cove and Southwood,Rushmoor,E05008991,E07000092
Empress,Rushmoor,E05008992,E07000092
Knellwood,Rushmoor,E05008994,E07000092
Cherrywood,Rushmoor,E05008990,E07000092
West Heath,Rushmoor,E05009001,E07000092
Fernhill,Rushmoor,E05008993,E07000092
St John's,Rushmoor,E05008998,E07000092
