Ward Name,La Name,Ward Code,La Code,Value
Helmsley,Ryedale,E07000167,E05006302,
Sherburn,Ryedale,E05006312,E07000167
Thornton Dale,Ryedale,E05006315,E07000167
Malton,Ryedale,E05006305,E07000167
Derwent,Ryedale,E05006301,E07000167
Norton West,Ryedale,E05006307,E07000167
Amotherby,Ryedale,E05006297,E07000167
Hovingham,Ryedale,E05006303,E07000167
Sinnington,Ryedale,E05006314,E07000167
Rillington,Ryedale,E05006310,E07000167
Pickering East,Ryedale,E05006308,E07000167
Cropton,Ryedale,E05006299,E07000167
Norton East,Ryedale,E05006306,E07000167
Wolds,Ryedale,E05006316,E07000167
Pickering West,Ryedale,E05006309,E07000167
Dales,Ryedale,E05006300,E07000167
Ryedale South West,Ryedale,E05006311,E07000167
Sheriff Hutton,Ryedale,E05006313,E07000167
Ampleforth,Ryedale,E05006298,E07000167
Kirkbymoorside,Ryedale,E05006304,E07000167
