Ward Name,La Name,Ward Code,La Code,Value
Hawick and Hermitage,Scottish Borders,S12000026,S13002771,
Tweeddale West,Scottish Borders,S13002761,S12000026
Galashiels and District,Scottish Borders,S13002763,S12000026
Tweeddale East,Scottish Borders,S13002762,S12000026
Leaderdale and Melrose,Scottish Borders,S13002765,S12000026
Selkirkshire,Scottish Borders,S13002764,S12000026
Mid Berwickshire,Scottish Borders,S13002766,S12000026
East Berwickshire,Scottish Borders,S13002767,S12000026
Kelso and District,Scottish Borders,S13002768,S12000026
Jedburgh and District,Scottish Borders,S13002769,S12000026
Hawick and Denholm,Scottish Borders,S13002770,S12000026
