Ward Name,La Name,Ward Code,La Code,Value
Shirley West,Solihull,E08000029,E05001298,
Lyndon,Solihull,E05001292,E08000029
Bickenhill,Solihull,E05001284,E08000029
Elmdon,Solihull,E05001289,E08000029
Olton,Solihull,E05001294,E08000029
Castle Bromwich,Solihull,E05001286,E08000029
Smith's Wood,Solihull,E05001300,E08000029
Kingshurst and Fordbridge,Solihull,E05001290,E08000029
Chelmsley Wood,Solihull,E05001287,E08000029
Blythe,Solihull,E05001285,E08000029
Shirley South,Solihull,E05001297,E08000029
Shirley East,Solihull,E05001296,E08000029
Silhill,Solihull,E05001299,E08000029
St Alphege,Solihull,E05001295,E08000029
Knowle,Solihull,E05001291,E08000029
Meriden,Solihull,E05001293,E08000029
Dorridge and Hockley Heath,Solihull,E05001288,E08000029
