Ward Name,La Name,Ward Code,La Code,Value
Belvoir,South Kesteven,E07000141,E05010150,
Grantham St Wulfram's,South Kesteven,E05010164,E07000141
Viking,South Kesteven,E05010177,E07000141
Loveden Heath,South Kesteven,E05010168,E07000141
Grantham St Vincent's,South Kesteven,E05010163,E07000141
Grantham Earlesfield,South Kesteven,E05010161,E07000141
Grantham Springfield,South Kesteven,E05010165,E07000141
Grantham Arnoldfield,South Kesteven,E05010159,E07000141
Grantham Barrowby Gate,South Kesteven,E05010160,E07000141
Belmont,South Kesteven,E05010149,E07000141
Isaac Newton,South Kesteven,E05010166,E07000141
Peascliffe & Ridgeway,South Kesteven,E05010171,E07000141
Grantham Harrowby,South Kesteven,E05010162,E07000141
Lincrest,South Kesteven,E05010167,E07000141
Glen,South Kesteven,E05010158,E07000141
Castle,South Kesteven,E05010155,E07000141
Toller,South Kesteven,E05010176,E07000141
Aveland,South Kesteven,E05010148,E07000141
Bourne West,South Kesteven,E05010153,E07000141
Bourne East,South Kesteven,E05010152,E07000141
Dole Wood,South Kesteven,E05010157,E07000141
Bourne Austerby,South Kesteven,E05010151,E07000141
Morton,South Kesteven,E05010170,E07000141
Deeping St James,South Kesteven,E05010156,E07000141
Market & West Deeping,South Kesteven,E05010169,E07000141
Casewick,South Kesteven,E05010154,E07000141
Stamford St Mary's,South Kesteven,E05010175,E07000141
Stamford St George's,South Kesteven,E05010173,E07000141
Stamford All Saints,South Kesteven,E05010172,E07000141
Stamford St John's,South Kesteven,E05010174,E07000141
