Ward Name,La Name,Ward Code,La Code,Value
Chinnor,South Oxfordshire,E07000179,E05009736,
Haseley Brook,South Oxfordshire,E05011705,E07000179
Forest Hill & Holton,South Oxfordshire,E05011704,E07000179
Wallingford,South Oxfordshire,E05011710,E07000179
Cholsey,South Oxfordshire,E05011701,E07000179
Benson & Crowmarsh,South Oxfordshire,E05009733,E07000179
Woodcote & Rotherfield,South Oxfordshire,E05011712,E07000179
Goring,South Oxfordshire,E05009743,E07000179
Chalgrove,South Oxfordshire,E05009735,E07000179
Berinsfield,South Oxfordshire,E05009734,E07000179
Didcot South,South Oxfordshire,E05011703,E07000179
Didcot West,South Oxfordshire,E05009740,E07000179
Didcot North East,South Oxfordshire,E05011702,E07000179
Sandford & the Wittenhams,South Oxfordshire,E05011708,E07000179
Wheatley,South Oxfordshire,E05011711,E07000179
Garsington & Horspath,South Oxfordshire,E05009742,E07000179
Thame,South Oxfordshire,E05009749,E07000179
Watlington,South Oxfordshire,E05009751,E07000179
Sonning Common,South Oxfordshire,E05012854,E07000179
Kidmore End & Whitchurch,South Oxfordshire,E05011707,E07000179
Henley-on-Thames,South Oxfordshire,E05012853,E07000179
