Ward Name,La Name,Ward Code,La Code,Value
Samlesbury & Walton,South Ribble,E07000126,E05010233,
Howick & Priory,South Ribble,E05010225,E07000126
Broad Oak,South Ribble,E05010216,E07000126
Middleforth,South Ribble,E05010229,E07000126
Charnock,South Ribble,E05010219,E07000126
Walton-le-Dale West,South Ribble,E05010236,E07000126
Seven Stars,South Ribble,E05010234,E07000126
Earnshaw Bridge,South Ribble,E05010221,E07000126
Broadfield,South Ribble,E05010217,E07000126
Buckshaw & Worden,South Ribble,E05010218,E07000126
Leyland Central,South Ribble,E05010226,E07000126
Moss Side,South Ribble,E05010230,E07000126
St Ambrose,South Ribble,E05010232,E07000126
Farington East,South Ribble,E05010222,E07000126
Farington West,South Ribble,E05010223,E07000126
Hoole,South Ribble,E05010224,E07000126
New Longton & Hutton East,South Ribble,E05010231,E07000126
Longton & Hutton West,South Ribble,E05010227,E07000126
Coupe Green & Gregson Lane,South Ribble,E05010220,E07000126
Bamber Bridge East,South Ribble,E05010214,E07000126
Walton-le-Dale East,South Ribble,E05010235,E07000126
Bamber Bridge West,South Ribble,E05010215,E07000126
Lostock Hall,South Ribble,E05010228,E07000126
