Ward Name,La Name,Ward Code,La Code,Value
Bruton,South Somerset,E07000189,E05012515,
Wincanton,South Somerset,E05012541,E07000189
Tower,South Somerset,E05012538,E07000189
Yeovil Westland,South Somerset,E05012546,E07000189
Yeovil Summerlands,South Somerset,E05012545,E07000189
Yeovil Lyde,South Somerset,E05012544,E07000189
Yeovil College,South Somerset,E05012543,E07000189
Brympton,South Somerset,E05012516,E07000189
Coker,South Somerset,E05012525,E07000189
Yeovil Without,South Somerset,E05012547,E07000189
"Northstone, Ivelchester & St Michael's",South Somerset,E05012535,E07000189
Cary,South Somerset,E05012519,E07000189
Camelot,South Somerset,E05012518,E07000189
Blackmoor Vale,South Somerset,E05012514,E07000189
Martock,South Somerset,E05012532,E07000189
Parrett,South Somerset,E05012536,E07000189
Windwhistle,South Somerset,E05012542,E07000189
Milborne Port,South Somerset,E05012533,E07000189
Blackdown & Tatworth,South Somerset,E05012513,E07000189
"Curry Rivel, Huish & Langport",South Somerset,E05012527,E07000189
Islemoor,South Somerset,E05012531,E07000189
Burrow Hill,South Somerset,E05012517,E07000189
Turn Hill,South Somerset,E05012539,E07000189
Wessex,South Somerset,E05012540,E07000189
South Petherton,South Somerset,E05012537,E07000189
Eggwood,South Somerset,E05012528,E07000189
Hamdon,South Somerset,E05012529,E07000189
Crewkerne,South Somerset,E05012526,E07000189
Ilminster,South Somerset,E05012530,E07000189
Neroche,South Somerset,E05012534,E07000189
Chard Crimchard,South Somerset,E05012522,E07000189
Chard Holyrood,South Somerset,E05012523,E07000189
Chard Combe,South Somerset,E05012521,E07000189
Chard Avishayes,South Somerset,E05012520,E07000189
Chard Jocelyn,South Somerset,E05012524,E07000189
