Ward Name,La Name,Ward Code,La Code,Value
Kinver,South Staffordshire,E07000196,E05007000,
Himley and Swindon,South Staffordshire,E05006998,E07000196
Wombourne South East,South Staffordshire,E05007011,E07000196
Trysull and Seisdon,South Staffordshire,E05007008,E07000196
Wombourne South West,South Staffordshire,E05007012,E07000196
Penkridge North East and Acton Trussell,South Staffordshire,E05007002,E07000196
Penkridge West,South Staffordshire,E05007004,E07000196
Penkridge South East,South Staffordshire,E05007003,E07000196
Brewood and Coven,South Staffordshire,E05006989,E07000196
Huntington and Hatherton,South Staffordshire,E05006999,E07000196
"Wheaton Aston, Bishopswood and Lapley",South Staffordshire,E05007009,E07000196
Cheslyn Hay North and Saredon,South Staffordshire,E05006990,E07000196
Great Wyrley Town,South Staffordshire,E05006997,E07000196
Essington,South Staffordshire,E05006994,E07000196
Great Wyrley Landywood,South Staffordshire,E05006996,E07000196
Cheslyn Hay South,South Staffordshire,E05006991,E07000196
Featherstone and Shareshill,South Staffordshire,E05006995,E07000196
Wombourne North and Lower Penn,South Staffordshire,E05007010,E07000196
Codsall North,South Staffordshire,E05006992,E07000196
Perton Dippons,South Staffordshire,E05007005,E07000196
Pattingham and Patshull,South Staffordshire,E05007001,E07000196
Perton Lakeside,South Staffordshire,E05007007,E07000196
Perton East,South Staffordshire,E05007006,E07000196
Codsall South,South Staffordshire,E05006993,E07000196
Bilbrook,South Staffordshire,E05006988,E07000196
