Ward Name,La Name,Ward Code,La Code,Value
Fellgate and Hedworth,South Tyneside,E08000023,E05001141,
Hebburn North,South Tyneside,E05001143,E08000023
Hebburn South,South Tyneside,E05001144,E08000023
Primrose,South Tyneside,E05001147,E08000023
Monkton,South Tyneside,E05001146,E08000023
Bede,South Tyneside,E05001136,E08000023
Boldon Colliery,South Tyneside,E05001138,E08000023
Beacon and Bents,South Tyneside,E05001135,E08000023
Westoe,South Tyneside,E05001149,E08000023
Simonside and Rekendyke,South Tyneside,E05001148,E08000023
West Park,South Tyneside,E05001150,E08000023
Cleadon Park,South Tyneside,E05001140,E08000023
Horsley Hill,South Tyneside,E05001145,E08000023
Biddick and All Saints,South Tyneside,E05001137,E08000023
Harton,South Tyneside,E05001142,E08000023
Whiteleas,South Tyneside,E05001152,E08000023
Whitburn and Marsden,South Tyneside,E05001151,E08000023
Cleadon and East Boldon,South Tyneside,E05001139,E08000023
