Ward Name,La Name,Ward Code,La Code,Value
Eccleston,St. Helens,E08000013,E05000920,
Rainhill,St. Helens,E05000926,E08000013
Thatto Heath,St. Helens,E05000928,E08000013
Bold,St. Helens,E05000918,E08000013
Rainford,St. Helens,E05000925,E08000013
Town Centre,St. Helens,E05000929,E08000013
Moss Bank,St. Helens,E05000922,E08000013
Windle,St. Helens,E05000931,E08000013
West Park,St. Helens,E05000930,E08000013
Haydock,St. Helens,E05000921,E08000013
Blackbrook,St. Helens,E05000917,E08000013
Billinge and Seneley Green,St. Helens,E05000916,E08000013
Parr,St. Helens,E05000924,E08000013
Newton,St. Helens,E05000923,E08000013
Earlestown,St. Helens,E05000919,E08000013
Sutton,St. Helens,E05000927,E08000013
