Ward Name,La Name,Ward Code,La Code,Value
Biddulph North,Staffordshire Moorlands,E07000198,E05007043,
Horton,Staffordshire Moorlands,E05007058,E07000198
Hamps Valley,Staffordshire Moorlands,E05007057,E07000198
Dane,Staffordshire Moorlands,E05007055,E07000198
Manifold,Staffordshire Moorlands,E05007064,E07000198
Cheadle West,Staffordshire Moorlands,E05007051,E07000198
Cheadle South East,Staffordshire Moorlands,E05007050,E07000198
Cheadle North East,Staffordshire Moorlands,E05007049,E07000198
Checkley,Staffordshire Moorlands,E05007052,E07000198
Churnet,Staffordshire Moorlands,E05007054,E07000198
Caverswall,Staffordshire Moorlands,E05007047,E07000198
Ipstones,Staffordshire Moorlands,E05007059,E07000198
Cheddleton,Staffordshire Moorlands,E05007053,E07000198
Forsbrook,Staffordshire Moorlands,E05007056,E07000198
Alton,Staffordshire Moorlands,E05007039,E07000198
Leek South,Staffordshire Moorlands,E05007062,E07000198
Leek East,Staffordshire Moorlands,E05007060,E07000198
Leek North,Staffordshire Moorlands,E05007061,E07000198
Leek West,Staffordshire Moorlands,E05007063,E07000198
Biddulph South,Staffordshire Moorlands,E05007044,E07000198
Biddulph Moor,Staffordshire Moorlands,E05007042,E07000198
Bagnall and Stanley,Staffordshire Moorlands,E05007040,E07000198
Werrington,Staffordshire Moorlands,E05007065,E07000198
Brown Edge and Endon,Staffordshire Moorlands,E05007046,E07000198
Biddulph West,Staffordshire Moorlands,E05007045,E07000198
Biddulph East,Staffordshire Moorlands,E05007041,E07000198
Cellarhead,Staffordshire Moorlands,E05007048,E07000198
