Ward Name,La Name,Ward Code,La Code,Value
Mytchett & Deepcut,Surrey Heath,E07000214,E05012032,
Parkside,Surrey Heath,E05012034,E07000214
Heatherside,Surrey Heath,E05012030,E07000214
St Michaels,Surrey Heath,E05012035,E07000214
St Pauls,Surrey Heath,E05012036,E07000214
Bisley & West End,Surrey Heath,E05012027,E07000214
Watchetts,Surrey Heath,E05012038,E07000214
Town,Surrey Heath,E05012037,E07000214
Frimley,Surrey Heath,E05012028,E07000214
Old Dean,Surrey Heath,E05012033,E07000214
Bagshot,Surrey Heath,E05012026,E07000214
Frimley Green,Surrey Heath,E05012029,E07000214
Lightwater,Surrey Heath,E05012031,E07000214
Windlesham & Chobham,Surrey Heath,E05012039,E07000214
