Ward Name,La Name,Ward Code,La Code,Value
Central,Swindon,E06000030,E05008954,
Rodbourne Cheney,Swindon,E05008967,E06000030
Covingham and Dorcan,Swindon,E05008956,E06000030
Eastcott,Swindon,E05008957,E06000030
Blunsdon and Highworth,Swindon,E05010755,E06000030
St Margaret and South Marston,Swindon,E05008969,E06000030
Walcot and Park North,Swindon,E05008971,E06000030
Old Town,Swindon,E05008963,E06000030
Wroughton and Wichelstowe,Swindon,E05008972,E06000030
Gorse Hill and Pinehurst,Swindon,E05008958,E06000030
Lydiard and Freshbrook,Swindon,E05008961,E06000030
Mannington and Western,Swindon,E05008962,E06000030
Haydon Wick,Swindon,E05010756,E06000030
Priory Vale,Swindon,E05008965,E06000030
Penhill and Upper Stratton,Swindon,E05010757,E06000030
St Andrews,Swindon,E05008968,E06000030
Chiseldon and Lawn,Swindon,E05008955,E06000030
"Liden, Eldene and Park South",Swindon,E05008960,E06000030
Ridgeway,Swindon,E05008966,E06000030
Shaw,Swindon,E05008970,E06000030
