Ward Name,La Name,Ward Code,La Code,Value
Droylsden East,Tameside,E08000008,E05000807,
Denton North East,Tameside,E05000804,E08000008
Denton West,Tameside,E05000806,E08000008
Denton South,Tameside,E05000805,E08000008
Audenshaw,Tameside,E05000803,E08000008
St Peter's,Tameside,E05000816,E08000008
Droylsden West,Tameside,E05000808,E08000008
Longdendale,Tameside,E05000814,E08000008
Ashton Waterloo,Tameside,E05000802,E08000008
Mossley,Tameside,E05000815,E08000008
Stalybridge North,Tameside,E05000817,E08000008
Ashton St Michael's,Tameside,E05000801,E08000008
Dukinfield,Tameside,E05000809,E08000008
Ashton Hurst,Tameside,E05000800,E08000008
Hyde Godley,Tameside,E05000811,E08000008
Hyde Werneth,Tameside,E05000813,E08000008
Hyde Newton,Tameside,E05000812,E08000008
Stalybridge South,Tameside,E05000818,E08000008
Dukinfield Stalybridge,Tameside,E05000810,E08000008
