Ward Name,La Name,Ward Code,La Code,Value
Portley,Tandridge,E07000215,E05007400,
Whyteleafe,Tandridge,E05007407,E07000215
Harestone,Tandridge,E05007395,E07000215
Chaldon,Tandridge,E05007391,E07000215
Westway,Tandridge,E05007406,E07000215
Queens Park,Tandridge,E05007401,E07000215
Valley,Tandridge,E05007403,E07000215
Woldingham,Tandridge,E05007408,E07000215
Oxted North and Tandridge,Tandridge,E05007398,E07000215
Warlingham West,Tandridge,E05007405,E07000215
Warlingham East and Chelsham and Farleigh,Tandridge,E05007404,E07000215
Tatsfield and Titsey,Tandridge,E05007402,E07000215
Bletchingley and Nutfield,Tandridge,E05007409,E07000215
Godstone,Tandridge,E05007394,E07000215
"Burstow, Horne and Outwood",Tandridge,E05007410,E07000215
Felbridge,Tandridge,E05007393,E07000215
Dormansland and Felcourt,Tandridge,E05007392,E07000215
Lingfield and Crowhurst,Tandridge,E05007397,E07000215
Limpsfield,Tandridge,E05007396,E07000215
Oxted South,Tandridge,E05007399,E07000215
