Ward Name,La Name,Ward Code,La Code,Value
Kenn Valley,Teignbridge,E07000045,E05011905,
Teign Valley,Teignbridge,E05011912,E07000045
Moretonhampstead,Teignbridge,E05011910,E07000045
Kenton & Starcross,Teignbridge,E05011906,E07000045
Dawlish North East,Teignbridge,E05011901,E07000045
Dawlish South West,Teignbridge,E05011902,E07000045
Teignmouth East,Teignbridge,E05011914,E07000045
Shaldon & Stokeinteignhead,Teignbridge,E05011911,E07000045
Ambrook,Teignbridge,E05011892,E07000045
Ashburton & Buckfastleigh,Teignbridge,E05011893,E07000045
College,Teignbridge,E05011900,E07000045
Buckland & Milber,Teignbridge,E05011897,E07000045
Bradley,Teignbridge,E05011896,E07000045
Bushell,Teignbridge,E05011898,E07000045
Kingsteignton West,Teignbridge,E05011909,E07000045
Kingsteignton East,Teignbridge,E05011908,E07000045
Kerswell-with-Combe,Teignbridge,E05011907,E07000045
Ipplepen,Teignbridge,E05011904,E07000045
Haytor,Teignbridge,E05011903,E07000045
Bovey,Teignbridge,E05011895,E07000045
Chudleigh,Teignbridge,E05011899,E07000045
Bishopsteignton,Teignbridge,E05011894,E07000045
Teignmouth Central,Teignbridge,E05011913,E07000045
Teignmouth West,Teignbridge,E05011915,E07000045
