Ward Name,La Name,Ward Code,La Code,Value
Wrockwardine,Telford and Wrekin,E06000020,E05009994,
Edgmond & Ercall Magna,Telford and Wrekin,E05009975,E06000020
Haygate,Telford and Wrekin,E05009978,E06000020
Ercall,Telford and Wrekin,E05009976,E06000020
College,Telford and Wrekin,E05009971,E06000020
Park,Telford and Wrekin,E05009988,E06000020
Ironbridge Gorge,Telford and Wrekin,E05009980,E06000020
Dawley & Aqueduct,Telford and Wrekin,E05009972,E06000020
Oakengates & Ketley Bank,Telford and Wrekin,E05009987,E06000020
The Nedge,Telford and Wrekin,E05009992,E06000020
Arleston,Telford and Wrekin,E05009968,E06000020
Dothill,Telford and Wrekin,E05009974,E06000020
Shawbirch,Telford and Wrekin,E05009991,E06000020
Ketley & Overdale,Telford and Wrekin,E05009981,E06000020
Hadley & Leegomery,Telford and Wrekin,E05009977,E06000020
Apley Castle,Telford and Wrekin,E05009967,E06000020
Wrockwardine Wood & Trench,Telford and Wrekin,E05009995,E06000020
Newport North & West,Telford and Wrekin,E05009985,E06000020
Newport South & East,Telford and Wrekin,E05009986,E06000020
Church Aston & Lilleshall,Telford and Wrekin,E05009970,E06000020
Muxton,Telford and Wrekin,E05009984,E06000020
Madeley & Sutton Hill,Telford and Wrekin,E05009982,E06000020
Donnington,Telford and Wrekin,E05009973,E06000020
Malinslee & Dawley Bank,Telford and Wrekin,E05009983,E06000020
St Georges,Telford and Wrekin,E05009990,E06000020
Priorslee,Telford and Wrekin,E05009989,E06000020
Brookside,Telford and Wrekin,E05009969,E06000020
Horsehay & Lightmoor,Telford and Wrekin,E05009979,E06000020
Admaston & Bratton,Telford and Wrekin,E05009966,E06000020
Woodside,Telford and Wrekin,E05009993,E06000020
