Ward Name,La Name,Ward Code,La Code,Value
Carpenders Park,Three Rivers,E07000102,E05009426,
Moor Park & Eastbury,Three Rivers,E05009433,E07000102
Oxhey Hall & Hayling,Three Rivers,E05009434,E07000102
Chorleywood North & Sarratt,Three Rivers,E05009427,E07000102
Abbots Langley & Bedmond,Three Rivers,E05009425,E07000102
Gade Valley,Three Rivers,E05009431,E07000102
Chorleywood South & Maple Cross,Three Rivers,E05009428,E07000102
South Oxhey,Three Rivers,E05009437,E07000102
Durrants,Three Rivers,E05009430,E07000102
Dickinsons,Three Rivers,E05009429,E07000102
Leavesden,Three Rivers,E05009432,E07000102
Rickmansworth Town,Three Rivers,E05009436,E07000102
Penn & Mill End,Three Rivers,E05009435,E07000102
