Ward Name,La Name,Ward Code,La Code,Value
Wainfelin,Torfaen,W06000020,W05000790,
Llanyrafon East and Ponthir,Torfaen,W05000995,W06000020
Pontypool,Torfaen,W05000783,W06000020
New Inn,Torfaen,W05000997,W06000020
Panteg,Torfaen,W05000780,W06000020
Pontnewynydd,Torfaen,W05000782,W06000020
Pontnewydd,Torfaen,W05000998,W06000020
Llantarnam,Torfaen,W05000776,W06000020
Fairwater,Torfaen,W05000774,W06000020
Upper Cwmbran,Torfaen,W05001001,W06000020
Cwmyniscoy,Torfaen,W05000773,W06000020
Brynwern,Torfaen,W05000769,W06000020
Snatchwood,Torfaen,W05000999,W06000020
Abersychan,Torfaen,W05000992,W06000020
Trevethin,Torfaen,W05000787,W06000020
St. Cadocs and Penygarn,Torfaen,W05000784,W06000020
Blaenavon,Torfaen,W05000768,W06000020
Llanyrafon West,Torfaen,W05000996,W06000020
Croesyceiliog South,Torfaen,W05000772,W06000020
Croesyceiliog North,Torfaen,W05000993,W06000020
St. Dials,Torfaen,W05001000,W06000020
Greenmeadow,Torfaen,W05000994,W06000020
Coed Eva,Torfaen,W05000770,W06000020
Two Locks,Torfaen,W05000788,W06000020
