Ward Name,La Name,Ward Code,La Code,Value
Shadwell,Tower Hamlets,E09000030,E05009332,
Whitechapel,Tower Hamlets,E05009336,E09000030
St Dunstan's,Tower Hamlets,E05009329,E09000030
Stepney Green,Tower Hamlets,E05009334,E09000030
Spitalfields & Banglatown,Tower Hamlets,E05009333,E09000030
Bethnal Green,Tower Hamlets,E05009317,E09000030
St Peter's,Tower Hamlets,E05009331,E09000030
Weavers,Tower Hamlets,E05009335,E09000030
Bow West,Tower Hamlets,E05009320,E09000030
St Katharine's & Wapping,Tower Hamlets,E05009330,E09000030
Poplar,Tower Hamlets,E05009328,E09000030
Lansbury,Tower Hamlets,E05009325,E09000030
Mile End,Tower Hamlets,E05009327,E09000030
Blackwall & Cubitt Town,Tower Hamlets,E05009318,E09000030
Island Gardens,Tower Hamlets,E05009324,E09000030
Canary Wharf,Tower Hamlets,E05009323,E09000030
Limehouse,Tower Hamlets,E05009326,E09000030
Bow East,Tower Hamlets,E05009319,E09000030
Bromley North,Tower Hamlets,E05009321,E09000030
Bromley South,Tower Hamlets,E05009322,E09000030
