Ward Name,La Name,Ward Code,La Code,Value
Culverden,Tunbridge Wells,E07000116,E05005134,
Pantiles and St Mark's,Tunbridge Wells,E05005140,E07000116
Sherwood,Tunbridge Wells,E05005146,E07000116
Park,Tunbridge Wells,E05005141,E07000116
Broadwater,Tunbridge Wells,E05005132,E07000116
St James',Tunbridge Wells,E05005144,E07000116
St John's,Tunbridge Wells,E05005145,E07000116
Pembury,Tunbridge Wells,E05005142,E07000116
Capel,Tunbridge Wells,E05005133,E07000116
Southborough North,Tunbridge Wells,E05005148,E07000116
Speldhurst and Bidborough,Tunbridge Wells,E05005149,E07000116
Goudhurst and Lamberhurst,Tunbridge Wells,E05005136,E07000116
Paddock Wood East,Tunbridge Wells,E05005138,E07000116
Paddock Wood West,Tunbridge Wells,E05005139,E07000116
Brenchley and Horsmonden,Tunbridge Wells,E05005131,E07000116
Benenden and Cranbrook,Tunbridge Wells,E05005130,E07000116
Frittenden and Sissinghurst,Tunbridge Wells,E05005135,E07000116
Hawkhurst and Sandhurst,Tunbridge Wells,E05005137,E07000116
Southborough and High Brooms,Tunbridge Wells,E05005147,E07000116
Rusthall,Tunbridge Wells,E05005143,E07000116
