Ward Name,La Name,Ward Code,La Code,Value
Stanley and Outwood East,Wakefield,E08000036,E05001458,
"Crofton, Ryhill and Walton",Wakefield,E05001448,E08000036
Hemsworth,Wakefield,E05001450,E08000036
South Elmsall and South Kirkby,Wakefield,E05001457,E08000036
Wakefield Rural,Wakefield,E05001461,E08000036
Wakefield North,Wakefield,E05001460,E08000036
Wakefield West,Wakefield,E05001463,E08000036
Wakefield East,Wakefield,E05001459,E08000036
Wrenthorpe and Outwood West,Wakefield,E05001464,E08000036
Wakefield South,Wakefield,E05001462,E08000036
Normanton,Wakefield,E05001453,E08000036
Castleford Central and Glasshoughton,Wakefield,E05001447,E08000036
Altofts and Whitwood,Wakefield,E05001446,E08000036
Airedale and Ferry Fryston,Wakefield,E05001445,E08000036
Knottingley,Wakefield,E05001452,E08000036
Pontefract South,Wakefield,E05001456,E08000036
Pontefract North,Wakefield,E05001455,E08000036
Ossett,Wakefield,E05001454,E08000036
"Ackworth, North Elmsall and Upton",Wakefield,E05001444,E08000036
Featherstone,Wakefield,E05001449,E08000036
Horbury and South Ossett,Wakefield,E05001451,E08000036
