Ward Name,La Name,Ward Code,La Code,Value
Paddock,Walsall,E08000030,E05001310,
Pheasey Park Farm,Walsall,E05001313,E08000030
Streetly,Walsall,E05001318,E08000030
St Matthew's,Walsall,E05001316,E08000030
Darlaston South,Walsall,E05001309,E08000030
Palfrey,Walsall,E05001311,E08000030
Pleck,Walsall,E05001314,E08000030
Bentley and Darlaston North,Walsall,E05001303,E08000030
Willenhall South,Walsall,E05001320,E08000030
Blakenall,Walsall,E05001305,E08000030
Birchills Leamore,Walsall,E05001304,E08000030
Bloxwich West,Walsall,E05001307,E08000030
Short Heath,Walsall,E05001317,E08000030
Bloxwich East,Walsall,E05001306,E08000030
Pelsall,Walsall,E05001312,E08000030
Rushall-Shelfield,Walsall,E05001315,E08000030
Aldridge Central and South,Walsall,E05001301,E08000030
Brownhills,Walsall,E05001308,E08000030
Aldridge North and Walsall Wood,Walsall,E05001302,E08000030
Willenhall North,Walsall,E05001319,E08000030
