Ward Name,La Name,Ward Code,La Code,Value
Shaftesbury,Wandsworth,E09000032,E05000623,
Northcote,Wandsworth,E05000619,E09000032
Fairfield,Wandsworth,E05000614,E09000032
Wandsworth Common,Wandsworth,E05000627,E09000032
Latchmere,Wandsworth,E05000617,E09000032
St Mary's Park,Wandsworth,E05000622,E09000032
Queenstown,Wandsworth,E05000620,E09000032
Balham,Wandsworth,E05000610,E09000032
Nightingale,Wandsworth,E05000618,E09000032
Bedford,Wandsworth,E05000611,E09000032
Thamesfield,Wandsworth,E05000625,E09000032
East Putney,Wandsworth,E05000613,E09000032
West Putney,Wandsworth,E05000629,E09000032
Roehampton and Putney Heath,Wandsworth,E05000621,E09000032
West Hill,Wandsworth,E05000628,E09000032
Furzedown,Wandsworth,E05000615,E09000032
Earlsfield,Wandsworth,E05000612,E09000032
Tooting,Wandsworth,E05000626,E09000032
Graveney,Wandsworth,E05000616,E09000032
Southfields,Wandsworth,E05000624,E09000032
