Ward Name,La Name,Ward Code,La Code,Value
Bewsey and Whitecross,Warrington,E06000007,E05011025,
Fairfield and Howley,Warrington,E05011030,E06000007
Poulton South,Warrington,E05011042,E06000007
Rixton and Woolston,Warrington,E05011043,E06000007
Poulton North,Warrington,E05011041,E06000007
Burtonwood and Winwick,Warrington,E05011027,E06000007
Lymm South,Warrington,E05011037,E06000007
Lymm North and Thelwall,Warrington,E05011036,E06000007
Poplars and Hulme,Warrington,E05011040,E06000007
Orford,Warrington,E05011038,E06000007
"Culcheth, Glazebury and Croft",Warrington,E05011029,E06000007
Birchwood,Warrington,E05011026,E06000007
Latchford East,Warrington,E05011034,E06000007
Latchford West,Warrington,E05011035,E06000007
Grappenhall,Warrington,E05011031,E06000007
Stockton Heath,Warrington,E05011044,E06000007
Appleton,Warrington,E05011024,E06000007
Penketh and Cuerdley,Warrington,E05011039,E06000007
Great Sankey South,Warrington,E05011033,E06000007
Great Sankey North and Whittle Hall,Warrington,E05011032,E06000007
Chapelford and Old Hall,Warrington,E05011028,E06000007
Westbrook,Warrington,E05011045,E06000007
