Ward Name,La Name,Ward Code,La Code,Value
Farnham Castle,Waverley,E07000216,E05007420,
Farnham Moor Park,Waverley,E05007423,E07000216
Farnham Weybourne and Badshot Lea,Waverley,E05007426,E07000216
"Frensham, Dockenfield and Tilford",Waverley,E05007428,E07000216
Elstead and Thursley,Waverley,E05007417,E07000216
Hindhead,Waverley,E05007436,E07000216
Farnham Bourne,Waverley,E05007419,E07000216
Farnham Wrecclesham and Rowledge,Waverley,E05007427,E07000216
Farnham Shortheath and Boundstone,Waverley,E05007424,E07000216
Farnham Upper Hale,Waverley,E05007425,E07000216
Haslemere Critchmere and Shottermill,Waverley,E05007434,E07000216
Haslemere East and Grayswood,Waverley,E05007435,E07000216
Chiddingfold and Dunsfold,Waverley,E05007414,E07000216
Blackheath and Wonersh,Waverley,E05007412,E07000216
"Bramley, Busbridge and Hascombe",Waverley,E05007413,E07000216
Shamley Green and Cranleigh North,Waverley,E05007438,E07000216
Cranleigh West,Waverley,E05007416,E07000216
Cranleigh East,Waverley,E05007415,E07000216
Ewhurst,Waverley,E05007418,E07000216
"Alfold, Cranleigh Rural and Ellens Green",Waverley,E05007411,E07000216
Godalming Central and Ockford,Waverley,E05007430,E07000216
Godalming Holloway,Waverley,E05007433,E07000216
Godalming Farncombe and Catteshall,Waverley,E05007432,E07000216
Godalming Charterhouse,Waverley,E05007431,E07000216
Godalming Binscombe,Waverley,E05007429,E07000216
Witley and Hambledon,Waverley,E05007439,E07000216
Milford,Waverley,E05007437,E07000216
Farnham Hale and Heath End,Waverley,E05007422,E07000216
Farnham Firgrove,Waverley,E05007421,E07000216
