Ward Name,La Name,Ward Code,La Code,Value
South Downs,Wealden,E07000065,E05011658,
Upper Willingdon,Wealden,E05011664,E07000065
Lower Willingdon,Wealden,E05011651,E07000065
Stone Cross,Wealden,E05011659,E07000065
Herstmonceux & Pevensey Levels,Wealden,E05011649,E07000065
Polegate Central,Wealden,E05011655,E07000065
Pevensey Bay,Wealden,E05011654,E07000065
Arlington,Wealden,E05011625,E07000065
Polegate North,Wealden,E05011656,E07000065
Polegate South & Willingdon Watermill,Wealden,E05011657,E07000065
Hailsham East,Wealden,E05011640,E07000065
Hailsham South,Wealden,E05011643,E07000065
Hailsham Central,Wealden,E05011639,E07000065
Hailsham North,Wealden,E05011641,E07000065
Hellingly,Wealden,E05011648,E07000065
Hailsham West,Wealden,E05011644,E07000065
Hailsham North West,Wealden,E05011642,E07000065
"Chiddingly, East Hoathly & Waldron",Wealden,E05011627,E07000065
Horam & Punnetts Town,Wealden,E05011650,E07000065
Danehill & Fletching,Wealden,E05011634,E07000065
Uckfield Ridgewood & Little Horsted,Wealden,E05011663,E07000065
Forest Row,Wealden,E05011635,E07000065
Hartfield,Wealden,E05011645,E07000065
Frant & Wadhurst,Wealden,E05011637,E07000065
Uckfield New Town,Wealden,E05011661,E07000065
Mayfield & Five Ashes,Wealden,E05011653,E07000065
Hadlow Down & Rotherfield,Wealden,E05011638,E07000065
Heathfield North,Wealden,E05011646,E07000065
Heathfield South,Wealden,E05011647,E07000065
Framfield & Cross-in-Hand,Wealden,E05011636,E07000065
Uckfield North,Wealden,E05011662,E07000065
Uckfield East,Wealden,E05011660,E07000065
Maresfield,Wealden,E05011652,E07000065
Buxted,Wealden,E05011626,E07000065
Withyham,Wealden,E05011665,E07000065
Crowborough Central,Wealden,E05011628,E07000065
Crowborough St Johns,Wealden,E05011633,E07000065
Crowborough North,Wealden,E05011630,E07000065
Crowborough South East,Wealden,E05011631,E07000065
Crowborough South West,Wealden,E05011632,E07000065
Crowborough Jarvis Brook,Wealden,E05011629,E07000065
