Ward Name,La Name,Ward Code,La Code,Value
"Kingham, Rollright and Enstone",West Oxfordshire,E07000181,E05006642,
Alvescot and Filkins,West Oxfordshire,E05006627,E07000181
"Standlake, Aston and Stanton Harcourt",West Oxfordshire,E05006645,E07000181
The Bartons,West Oxfordshire,E05006647,E07000181
Carterton North East,West Oxfordshire,E05006632,E07000181
Carterton North West,West Oxfordshire,E05009365,E07000181
Carterton South,West Oxfordshire,E05006634,E07000181
Brize Norton and Shilton,West Oxfordshire,E05009364,E07000181
Bampton and Clanfield,West Oxfordshire,E05006629,E07000181
Ducklington,West Oxfordshire,E05006638,E07000181
Burford,West Oxfordshire,E05009363,E07000181
Ascott and Shipton,West Oxfordshire,E05006628,E07000181
Woodstock and Bladon,West Oxfordshire,E05006653,E07000181
Stonesfield and Tackley,West Oxfordshire,E05006646,E07000181
Witney East,West Oxfordshire,E05006649,E07000181
Witney South,West Oxfordshire,E05006651,E07000181
Witney North,West Oxfordshire,E05006650,E07000181
"Hailey, Minster Lovell and Leafield",West Oxfordshire,E05010783,E07000181
Eynsham and Cassington,West Oxfordshire,E05006639,E07000181
Witney Central,West Oxfordshire,E05006648,E07000181
Witney West,West Oxfordshire,E05006652,E07000181
Freeland and Hanborough,West Oxfordshire,E05006640,E07000181
North Leigh,West Oxfordshire,E05006644,E07000181
Charlbury and Finstock,West Oxfordshire,E05010782,E07000181
Chipping Norton,West Oxfordshire,E05006637,E07000181
Chadlington and Churchill,West Oxfordshire,E05010781,E07000181
Milton-under-Wychwood,West Oxfordshire,E05006643,E07000181
