Ward Name,La Name,Ward Code,La Code,Value
St James's,Westminster,E09000033,E05000644,
Marylebone High Street,Westminster,E05000641,E09000033
Regent's Park,Westminster,E05000643,E09000033
Bryanston and Dorset Square,Westminster,E05000632,E09000033
Church Street,Westminster,E05000634,E09000033
Hyde Park,Westminster,E05000636,E09000033
Harrow Road,Westminster,E05000635,E09000033
Maida Vale,Westminster,E05000640,E09000033
Abbey Road,Westminster,E05000630,E09000033
Little Venice,Westminster,E05000639,E09000033
Vincent Square,Westminster,E05000646,E09000033
Warwick,Westminster,E05000647,E09000033
Tachbrook,Westminster,E05000645,E09000033
Churchill,Westminster,E05000633,E09000033
Knightsbridge and Belgravia,Westminster,E05000637,E09000033
Queen's Park,Westminster,E05000642,E09000033
Westbourne,Westminster,E05000648,E09000033
Bayswater,Westminster,E05000631,E09000033
West End,Westminster,E05000649,E09000033
Lancaster Gate,Westminster,E05000638,E09000033
